word,examCategory,cefrLevel,difficulty,partOfSpeech,level,frequency,tags
abandon,CSAT,B2,INTERMEDIATE,VERB,L1,100,"감정,행동"
abolish,CSAT,B2,INTERMEDIATE,VERB,L2,85,"사회,정치"
absorb,CSAT,B2,INTERMEDIATE,VERB,L1,90,"과학,학습"
abstract,CSAT,B2,INTERMEDIATE,ADJECTIVE,L2,80,"개념,예술"
abundant,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,88,"자연,경제"
access,CSAT,B1,BASIC,NOUN,L1,95,"기술,정보"
accomplish,CSAT,B2,INTERMEDIATE,VERB,L1,87,"성취,목표"
accurate,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,92,"정확성,과학"
acquire,CSAT,B2,INTERMEDIATE,VERB,L1,89,"획득,학습"
adapt,CSAT,B2,INTERMEDIATE,VERB,L1,91,"변화,생물"
adequate,CSAT,B2,INTERMEDIATE,ADJECTIVE,L2,82,"평가,기준"
adjust,CSAT,B1,BASIC,VERB,L1,93,"변화,적응"
advocate,CSAT,B2,INTERMEDIATE,VERB,L2,78,"주장,사회"
affect,CSAT,B1,BASIC,VERB,L1,96,"영향,심리"
allocate,CSAT,B2,INTERMEDIATE,VERB,L2,75,"경제,자원"
alter,CSAT,B2,INTERMEDIATE,VERB,L1,86,"변화,수정"
analyze,CSAT,B2,INTERMEDIATE,VERB,L1,94,"분석,과학"
anticipate,CSAT,B2,INTERMEDIATE,VERB,L2,79,"예측,기대"
apparent,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,84,"명백,관찰"
appeal,CSAT,B2,INTERMEDIATE,VERB,L1,88,"호소,매력"
apply,CSAT,B1,BASIC,VERB,L1,97,"적용,지원"
approach,CSAT,B1,BASIC,VERB,L1,95,"접근,방법"
appropriate,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,90,"적절,평가"
aspect,CSAT,B2,INTERMEDIATE,NOUN,L1,89,"측면,관점"
assess,CSAT,B2,INTERMEDIATE,VERB,L1,87,"평가,분석"
assume,CSAT,B2,INTERMEDIATE,VERB,L1,92,"가정,추측"
attribute,CSAT,B2,INTERMEDIATE,VERB,L2,81,"귀속,특성"
aware,CSAT,B1,BASIC,ADJECTIVE,L1,94,"인식,의식"
benefit,CSAT,B1,BASIC,NOUN,L1,96,"이익,혜택"
capable,CSAT,B1,BASIC,ADJECTIVE,L1,93,"능력,가능"
challenge,CSAT,B1,BASIC,NOUN,L1,95,"도전,과제"
circumstance,CSAT,B2,INTERMEDIATE,NOUN,L2,82,"상황,환경"
claim,CSAT,B1,BASIC,VERB,L1,94,"주장,요구"
clarify,CSAT,B2,INTERMEDIATE,VERB,L2,80,"명확화,설명"
cognitive,CSAT,B2,ADVANCED,ADJECTIVE,L2,76,"인지,심리"
commit,CSAT,B2,INTERMEDIATE,VERB,L1,88,"헌신,약속"
communicate,CSAT,B1,BASIC,VERB,L1,95,"소통,언어"
compare,CSAT,B1,BASIC,VERB,L1,96,"비교,분석"
complex,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,91,"복잡,구조"
component,CSAT,B2,INTERMEDIATE,NOUN,L1,85,"구성요소,부품"
comprehend,CSAT,B2,INTERMEDIATE,VERB,L2,79,"이해,파악"
concentrate,CSAT,B1,BASIC,VERB,L1,90,"집중,농축"
concept,CSAT,B1,BASIC,NOUN,L1,94,"개념,아이디어"
conclude,CSAT,B2,INTERMEDIATE,VERB,L1,89,"결론,종료"
conflict,CSAT,B2,INTERMEDIATE,NOUN,L1,87,"갈등,충돌"
conscious,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,86,"의식,자각"
consequence,CSAT,B2,INTERMEDIATE,NOUN,L1,88,"결과,영향"
considerable,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,84,"상당한,크기"
consistent,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,85,"일관된,지속"
constant,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,87,"지속적,변함없는"
constitute,CSAT,B2,INTERMEDIATE,VERB,L2,78,"구성,이루다"
construct,CSAT,B2,INTERMEDIATE,VERB,L1,86,"건설,구축"
consume,CSAT,B2,INTERMEDIATE,VERB,L1,89,"소비,섭취"
context,CSAT,B2,INTERMEDIATE,NOUN,L1,92,"맥락,상황"
contribute,CSAT,B2,INTERMEDIATE,VERB,L1,91,"기여,공헌"
controversy,CSAT,B2,INTERMEDIATE,NOUN,L2,77,"논쟁,논란"
convince,CSAT,B2,INTERMEDIATE,VERB,L1,88,"설득,확신"
correspond,CSAT,B2,INTERMEDIATE,VERB,L2,79,"일치,대응"
crucial,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,90,"중요한,결정적"
decade,CSAT,B1,BASIC,NOUN,L1,93,"10년,시대"
decline,CSAT,B2,INTERMEDIATE,VERB,L1,87,"감소,쇠퇴"
define,CSAT,B1,BASIC,VERB,L1,94,"정의,규정"
demonstrate,CSAT,B2,INTERMEDIATE,VERB,L1,89,"증명,시연"
derive,CSAT,B2,INTERMEDIATE,VERB,L2,80,"유래,파생"
determine,CSAT,B2,INTERMEDIATE,VERB,L1,92,"결정,판단"
develop,CSAT,B1,BASIC,VERB,L1,97,"발전,개발"
devote,CSAT,B2,INTERMEDIATE,VERB,L1,85,"헌신,전념"
distinguish,CSAT,B2,INTERMEDIATE,VERB,L1,86,"구별,구분"
diverse,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,88,"다양한,다른"
domestic,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,84,"국내,가정"
dominate,CSAT,B2,INTERMEDIATE,VERB,L1,83,"지배,우세"
efficient,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,90,"효율적,능률"
eliminate,CSAT,B2,INTERMEDIATE,VERB,L1,87,"제거,배제"
emerge,CSAT,B2,INTERMEDIATE,VERB,L1,89,"나타나다,부상"
emotion,CSAT,B1,BASIC,NOUN,L1,93,"감정,정서"
emphasize,CSAT,B2,INTERMEDIATE,VERB,L1,88,"강조,역설"
enable,CSAT,B2,INTERMEDIATE,VERB,L1,91,"가능하게,허용"
encounter,CSAT,B2,INTERMEDIATE,VERB,L1,86,"마주치다,조우"
enhance,CSAT,B2,INTERMEDIATE,VERB,L1,87,"향상,강화"
enormous,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,85,"거대한,막대한"
ensure,CSAT,B2,INTERMEDIATE,VERB,L1,90,"보장,확보"
establish,CSAT,B2,INTERMEDIATE,VERB,L1,91,"설립,확립"
estimate,CSAT,B2,INTERMEDIATE,VERB,L1,88,"추정,평가"
evaluate,CSAT,B2,INTERMEDIATE,VERB,L1,89,"평가,감정"
evident,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,84,"명백한,분명한"
evolve,CSAT,B2,INTERMEDIATE,VERB,L1,86,"진화,발전"
expand,CSAT,B2,INTERMEDIATE,VERB,L1,90,"확장,팽창"
exploit,CSAT,B2,INTERMEDIATE,VERB,L2,79,"이용,착취"
expose,CSAT,B2,INTERMEDIATE,VERB,L1,87,"노출,폭로"
extent,CSAT,B2,INTERMEDIATE,NOUN,L1,85,"정도,범위"
factor,CSAT,B1,BASIC,NOUN,L1,94,"요인,요소"
feature,CSAT,B1,BASIC,NOUN,L1,93,"특징,특색"
fundamental,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,86,"근본적,기본"
generate,CSAT,B2,INTERMEDIATE,VERB,L1,89,"생성,발생"
hypothesis,CSAT,B2,ADVANCED,NOUN,L2,78,"가설,가정"
identify,CSAT,B2,INTERMEDIATE,VERB,L1,92,"확인,식별"
illustrate,CSAT,B2,INTERMEDIATE,VERB,L1,85,"설명,예시"
impact,CSAT,B1,BASIC,NOUN,L1,94,"영향,충격"
imply,CSAT,B2,INTERMEDIATE,VERB,L1,87,"암시,의미"
indicate,CSAT,B2,INTERMEDIATE,VERB,L1,91,"나타내다,표시"
